Hostname,OS,Version,Software,IP Address,Asset Tag,Owner,Environment,Location,Lifecycle Status,Patch Level,Last Scanned,Criticality,Business Service,Installed Software,Security Agent Status,Backup Status,Running Services,Normalized OS,Normalized Software
dc-server-215,Linux Server,Ubuntu 20.04,Redis,10.0.1.216,SYS-000215,user8@example.com,Production,DAL1-RK12-U19,In Use,2025-03-28,2025-04-19,High,Web Portal,"Tenable, Nessus, .NET",Offline,Success (Last: 2025-04-18),"Puppet, W3SVC, Docker",Windows Server,".NET, DOCKER, REDIS"
dc-server-216,Linux Server,Debian 11,Docker,10.0.1.217,SYS-000216,user8@example.com,Production,DAL1-RK15-U13,In Use,2025-04-05,2025-04-15,Low,ERP,"Nessus, .NET, Node.js",Online,Success (Last: 2025-04-18),"W3SVC, Docker, MSSQL",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-217,Windows Server,2019,IIS,10.0.1.218,SYS-000217,user8@example.com,Production,DAL1-RK19-U01,In Use,2025-04-12,2025-04-21,Medium,Web Portal,"Node.js, CrowdStrike, .NET",Online,Success (Last: 2025-04-17),"Ansible, CrowdStrikeSensor, MSSQL",Windows Server,".NET, CROWDSTRIKE, IIS, NODE.JS"
dc-server-218,Linux Server,Debian 11,Docker,10.0.1.219,SYS-000218,user98@example.com,Production,DAL1-RK13-U13,In Use,2025-03-22,2025-04-21,Low,HRMS,"Tenable, Java, Node.js",Offline,Success (Last: 2025-04-17),"Docker, Puppet, Ansible",Linux Server,"DOCKER, JAVA, NODE.JS"
dc-server-219,Windows Server,2019,Redis,10.0.1.220,SYS-000219,user67@example.com,QA,DAL1-RK02-U19,Maintenance,2025-03-31,2025-04-17,High,ERP,"CrowdStrike, Nessus, .NET",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, W3SVC, Ansible",Windows Server,".NET, CROWDSTRIKE, REDIS"
dc-server-220,Linux Server,RHEL 8,Redis,10.0.1.221,SYS-000220,user55@example.com,Dev,DAL1-RK18-U11,Maintenance,2025-04-15,2025-04-16,Medium,Billing,"Tenable, Node.js, Nessus",Offline,Success (Last: 2025-04-19),"Puppet, MSSQL, Docker",Linux Server,"DOCKER, NODE.JS, REDIS"
dc-server-221,Windows Server,2022,Node.js,10.0.1.222,SYS-000221,user15@example.com,QA,DAL1-RK13-U16,In Use,2025-04-11,2025-04-19,High,Billing,"Node.js, Nessus, Tenable",Offline,Success (Last: 2025-04-20),"Puppet, CrowdStrikeSensor, Ansible",Cross-platform,"CROWDSTRIKE, NODE.JS"
dc-server-222,Linux Server,Ubuntu 20.04,Apache,10.0.1.223,SYS-000222,user53@example.com,Production,DAL1-RK12-U07,Maintenance,2025-04-12,2025-04-19,Low,Analytics,"CrowdStrike, Java, Tenable",Online,Success (Last: 2025-04-20),"CrowdStrikeSensor, MSSQL, Ansible",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-223,Linux Server,Debian 11,Nginx,10.0.1.224,SYS-000223,user44@example.com,Production,DAL1-RK01-U20,Maintenance,2025-03-24,2025-04-14,Low,Billing,"CrowdStrike, Nessus, Tenable",Online,Success (Last: 2025-04-21),"Puppet, Docker, Ansible",Cross-platform,"CROWDSTRIKE, DOCKER, NGINX"
dc-server-224,Linux Server,Debian 11,IIS,10.0.1.225,SYS-000224,user2@example.com,Dev,DAL1-RK20-U10,Maintenance,2025-04-06,2025-04-18,Medium,Web Portal,"Node.js, Nessus, Java",Online,Success (Last: 2025-04-18),"W3SVC, Ansible, Docker",Windows Server,"DOCKER, IIS, JAVA, NODE.JS"
dc-server-225,Linux Server,RHEL 8,Nginx,10.0.1.226,SYS-000225,user42@example.com,Production,DAL1-RK09-U14,In Use,2025-04-09,2025-04-19,Low,HRMS,"Node.js, CrowdStrike, Tenable",Online,Success (Last: 2025-04-19),"Ansible, W3SVC, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, NGINX, NODE.JS"
dc-server-226,Linux Server,Debian 11,IIS,10.0.1.227,SYS-000226,user48@example.com,QA,DAL1-RK08-U20,In Use,2025-03-29,2025-04-14,Medium,Billing,"Tenable, .NET, Java",Online,Success (Last: 2025-04-19),"W3SVC, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, IIS, JAVA"
dc-server-227,Linux Server,Debian 11,Nginx,10.0.1.228,SYS-000227,user86@example.com,QA,DAL1-RK03-U10,In Use,2025-03-30,2025-04-20,Medium,Analytics,".NET, Nessus, Node.js",Offline,Success (Last: 2025-04-21),"CrowdStrikeSensor, MSSQL, Puppet",Windows Server,".NET, CROWDSTRIKE, NGINX, NODE.JS"
dc-server-228,Linux Server,Debian 11,Nginx,10.0.1.229,SYS-000228,user17@example.com,QA,DAL1-RK02-U17,Maintenance,2025-03-22,2025-04-16,Low,HRMS,"Nessus, Node.js, Tenable",Online,Success (Last: 2025-04-17),"Docker, Puppet, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NGINX, NODE.JS"
dc-server-229,Windows Server,2022,Nginx,10.0.1.230,SYS-000229,user41@example.com,Production,DAL1-RK13-U18,Maintenance,2025-04-02,2025-04-14,Low,Billing,"CrowdStrike, Node.js, Nessus",Online,Success (Last: 2025-04-21),"CrowdStrikeSensor, Puppet, Ansible",Cross-platform,"CROWDSTRIKE, NGINX, NODE.JS"
dc-server-230,Linux Server,Debian 11,IIS,10.0.1.231,SYS-000230,user70@example.com,QA,DAL1-RK04-U20,In Use,2025-04-07,2025-04-21,Low,Billing,"Tenable, Java, .NET",Offline,Success (Last: 2025-04-21),"MSSQL, W3SVC, Ansible",Windows Server,".NET, IIS, JAVA"
dc-server-231,Windows Server,2019,SQL Server,10.0.1.232,SYS-000231,user73@example.com,QA,DAL1-RK13-U12,In Use,2025-04-07,2025-04-17,Medium,HRMS,"Java, Node.js, Tenable",Online,Success (Last: 2025-04-19),"Docker, CrowdStrikeSensor, Ansible",Windows Server,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, SQL SERVER"
dc-server-232,Linux Server,Ubuntu 20.04,Docker,10.0.1.233,SYS-000232,user62@example.com,QA,DAL1-RK05-U19,Maintenance,2025-04-19,2025-04-17,Low,Billing,"Nessus, CrowdStrike, Tenable",Online,Success (Last: 2025-04-21),"W3SVC, Puppet, Docker",Cross-platform,"CROWDSTRIKE, DOCKER"
dc-server-233,Windows Server,2019,Nginx,10.0.1.234,SYS-000233,user31@example.com,Dev,DAL1-RK07-U20,Maintenance,2025-03-25,2025-04-18,High,HRMS,".NET, Nessus, Java",Offline,Success (Last: 2025-04-21),"Ansible, Docker, MSSQL",Windows Server,".NET, DOCKER, JAVA, NGINX"
dc-server-234,Linux Server,Debian 11,Redis,10.0.1.235,SYS-000234,user78@example.com,Dev,DAL1-RK02-U20,In Use,2025-04-20,2025-04-19,Low,HRMS,"Node.js, Tenable, .NET",Online,Success (Last: 2025-04-19),"Puppet, MSSQL, Ansible",Windows Server,".NET, NODE.JS, REDIS"
dc-server-235,Windows Server,2019,IIS,10.0.1.236,SYS-000235,user21@example.com,Production,DAL1-RK01-U03,In Use,2025-03-23,2025-04-16,High,Analytics,"Nessus, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-19),"Ansible, MSSQL, Puppet",Windows Server,"CROWDSTRIKE, IIS, NODE.JS"
dc-server-236,Windows Server,2022,Tomcat,10.0.1.237,SYS-000236,user68@example.com,Dev,DAL1-RK15-U12,In Use,2025-04-13,2025-04-21,Medium,Billing,"Node.js, Nessus, Java",Offline,Success (Last: 2025-04-18),"MSSQL, Ansible, Puppet",Linux Server,"JAVA, NODE.JS, TOMCAT"
dc-server-237,Windows Server,2022,Tomcat,10.0.1.238,SYS-000237,user12@example.com,Dev,DAL1-RK15-U14,In Use,2025-04-03,2025-04-14,Low,HRMS,"Node.js, Java, Nessus",Online,Success (Last: 2025-04-18),"Docker, MSSQL, W3SVC",Linux Server,"DOCKER, JAVA, NODE.JS, TOMCAT"
dc-server-238,Windows Server,2022,Node.js,10.0.1.239,SYS-000238,user17@example.com,Dev,DAL1-RK10-U18,In Use,2025-04-17,2025-04-18,Medium,ERP,"Node.js, CrowdStrike, Nessus",Online,Success (Last: 2025-04-16),"Ansible, Docker, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-239,Linux Server,Debian 11,Tomcat,10.0.1.240,SYS-000239,user60@example.com,Production,DAL1-RK18-U10,Maintenance,2025-04-15,2025-04-14,High,HRMS,"Java, .NET, Nessus",Offline,Success (Last: 2025-04-21),"MSSQL, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, JAVA, TOMCAT"
dc-server-240,Linux Server,Debian 11,Nginx,10.0.1.241,SYS-000240,user60@example.com,Dev,DAL1-RK04-U15,In Use,2025-04-19,2025-04-15,Low,HRMS,"CrowdStrike, Node.js, .NET",Online,Success (Last: 2025-04-17),"CrowdStrikeSensor, Docker, Puppet",Windows Server,".NET, CROWDSTRIKE, DOCKER, NGINX, NODE.JS"
dc-server-241,Windows Server,2019,Node.js,10.0.1.242,SYS-000241,user38@example.com,QA,DAL1-RK17-U11,Maintenance,2025-03-27,2025-04-20,Low,ERP,".NET, Nessus, Java",Offline,Success (Last: 2025-04-20),"W3SVC, MSSQL, Docker",Windows Server,".NET, DOCKER, JAVA, NODE.JS"
dc-server-242,Windows Server,2019,Node.js,10.0.1.243,SYS-000242,user23@example.com,Dev,DAL1-RK20-U17,In Use,2025-04-02,2025-04-20,High,Billing,"Nessus, CrowdStrike, Java",Offline,Success (Last: 2025-04-21),"Puppet, MSSQL, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-243,Windows Server,2022,SQL Server,10.0.1.244,SYS-000243,user17@example.com,Dev,DAL1-RK14-U04,In Use,2025-04-20,2025-04-16,High,ERP,"Tenable, Nessus, Node.js",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, W3SVC, Ansible",Windows Server,"CROWDSTRIKE, NODE.JS, SQL SERVER"
dc-server-244,Linux Server,RHEL 8,Redis,10.0.1.245,SYS-000244,user41@example.com,Production,DAL1-RK04-U03,Maintenance,2025-04-18,2025-04-16,High,Web Portal,"Java, Tenable, .NET",Online,Success (Last: 2025-04-18),"Docker, MSSQL, Puppet",Windows Server,".NET, DOCKER, JAVA, REDIS"
dc-server-245,Windows Server,2019,Tomcat,10.0.1.246,SYS-000245,user28@example.com,Production,DAL1-RK08-U02,Maintenance,2025-04-18,2025-04-18,Low,Analytics,"Nessus, Java, .NET",Online,Success (Last: 2025-04-16),"Puppet, MSSQL, Ansible",Windows Server,".NET, JAVA, TOMCAT"
dc-server-246,Linux Server,Debian 11,IIS,10.0.1.247,SYS-000246,user30@example.com,Dev,DAL1-RK06-U08,In Use,2025-04-05,2025-04-17,Medium,Billing,".NET, Node.js, Nessus",Online,Success (Last: 2025-04-20),"Docker, Ansible, Puppet",Windows Server,".NET, DOCKER, IIS, NODE.JS"
dc-server-247,Windows Server,2019,Apache,10.0.1.248,SYS-000247,user32@example.com,Production,DAL1-RK20-U14,In Use,2025-03-28,2025-04-19,Medium,HRMS,"Java, Nessus, .NET",Online,Success (Last: 2025-04-21),"MSSQL, Docker, W3SVC",Windows Server,".NET, APACHE, DOCKER, JAVA"
dc-server-248,Linux Server,Debian 11,IIS,10.0.1.249,SYS-000248,user37@example.com,Dev,DAL1-RK13-U11,Maintenance,2025-03-22,2025-04-14,Low,HRMS,"CrowdStrike, Nessus, .NET",Online,Success (Last: 2025-04-17),"W3SVC, Ansible, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS"
dc-server-249,Windows Server,2019,IIS,10.0.1.250,SYS-000249,user76@example.com,Production,DAL1-RK08-U14,Maintenance,2025-04-16,2025-04-18,Low,Analytics,".NET, Java, Node.js",Online,Success (Last: 2025-04-20),"CrowdStrikeSensor, Ansible, MSSQL",Windows Server,".NET, CROWDSTRIKE, IIS, JAVA, NODE.JS"
dc-server-250,Windows Server,2022,SQL Server,10.0.1.251,SYS-000250,user18@example.com,QA,DAL1-RK18-U15,Maintenance,2025-04-07,2025-04-19,Low,Web Portal,"Nessus, CrowdStrike, Java",Offline,Success (Last: 2025-04-20),"MSSQL, Ansible, Docker",Windows Server,"CROWDSTRIKE, DOCKER, JAVA, SQL SERVER"
dc-server-251,Windows Server,2019,Node.js,10.0.1.252,SYS-000251,user93@example.com,QA,DAL1-RK16-U19,In Use,2025-04-05,2025-04-20,High,Web Portal,".NET, Node.js, Tenable",Offline,Success (Last: 2025-04-18),"CrowdStrikeSensor, W3SVC, Ansible",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-252,Windows Server,2022,IIS,10.0.1.253,SYS-000252,user1@example.com,Production,DAL1-RK11-U17,In Use,2025-03-30,2025-04-20,Medium,HRMS,"Java, Nessus, .NET",Offline,Success (Last: 2025-04-18),"CrowdStrikeSensor, Puppet, Ansible",Windows Server,".NET, CROWDSTRIKE, IIS, JAVA"
dc-server-253,Linux Server,RHEL 8,Tomcat,10.0.1.254,SYS-000253,user34@example.com,Production,DAL1-RK08-U02,Maintenance,2025-04-10,2025-04-20,Medium,Billing,".NET, Tenable, Node.js",Offline,Success (Last: 2025-04-20),"W3SVC, CrowdStrikeSensor, Ansible",Windows Server,".NET, CROWDSTRIKE, NODE.JS, TOMCAT"
dc-server-254,Linux Server,RHEL 8,Apache,10.0.2.1,SYS-000254,user53@example.com,QA,DAL1-RK11-U19,In Use,2025-04-20,2025-04-14,Medium,Billing,"Tenable, Node.js, CrowdStrike",Online,Success (Last: 2025-04-18),"CrowdStrikeSensor, Ansible, Puppet",Cross-platform,"APACHE, CROWDSTRIKE, NODE.JS"
dc-server-255,Windows Server,2022,Tomcat,10.0.2.2,SYS-000255,user17@example.com,Dev,DAL1-RK13-U17,Maintenance,2025-03-28,2025-04-20,Medium,ERP,"Tenable, CrowdStrike, .NET",Offline,Success (Last: 2025-04-19),"Ansible, Puppet, MSSQL",Windows Server,".NET, CROWDSTRIKE, TOMCAT"
dc-server-256,Windows Server,2022,Node.js,10.0.2.3,SYS-000256,user8@example.com,Production,DAL1-RK12-U10,Maintenance,2025-04-07,2025-04-14,High,ERP,"Node.js, Nessus, CrowdStrike",Online,Success (Last: 2025-04-18),"CrowdStrikeSensor, MSSQL, Ansible",Cross-platform,"CROWDSTRIKE, NODE.JS"
dc-server-257,Windows Server,2022,Nginx,10.0.2.4,SYS-000257,user14@example.com,QA,DAL1-RK01-U09,In Use,2025-04-14,2025-04-19,Low,Analytics,".NET, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-19),"Ansible, MSSQL, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NGINX"
dc-server-258,Windows Server,2022,Tomcat,10.0.2.5,SYS-000258,user31@example.com,Dev,DAL1-RK08-U08,In Use,2025-03-27,2025-04-15,High,Web Portal,"Tenable, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-19),"Docker, CrowdStrikeSensor, W3SVC",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, TOMCAT"
dc-server-259,Windows Server,2019,Docker,10.0.2.6,SYS-000259,user38@example.com,Dev,DAL1-RK15-U05,In Use,2025-03-27,2025-04-15,Medium,Analytics,"Java, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, Puppet, Ansible",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA"
dc-server-260,Windows Server,2022,Docker,10.0.2.7,SYS-000260,user76@example.com,Production,DAL1-RK07-U14,In Use,2025-04-11,2025-04-17,Medium,Analytics,".NET, Nessus, Node.js",Online,Success (Last: 2025-04-21),"Puppet, MSSQL, Ansible",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-261,Windows Server,2022,Node.js,10.0.2.8,SYS-000261,user81@example.com,QA,DAL1-RK08-U19,Maintenance,2025-03-31,2025-04-18,Low,Analytics,"Java, Nessus, .NET",Online,Success (Last: 2025-04-16),"Ansible, Docker, Puppet",Windows Server,".NET, DOCKER, JAVA, NODE.JS"
dc-server-262,Windows Server,2019,Tomcat,10.0.2.9,SYS-000262,user23@example.com,Dev,DAL1-RK09-U02,In Use,2025-03-30,2025-04-21,Low,Analytics,"Nessus, CrowdStrike, Java",Offline,Success (Last: 2025-04-19),"Puppet, CrowdStrikeSensor, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, TOMCAT"
dc-server-263,Linux Server,Ubuntu 20.04,IIS,10.0.2.10,SYS-000263,user67@example.com,Production,DAL1-RK07-U13,In Use,2025-04-16,2025-04-14,Low,Billing,"Nessus, Node.js, .NET",Offline,Success (Last: 2025-04-20),"Puppet, MSSQL, W3SVC",Windows Server,".NET, IIS, NODE.JS"
dc-server-264,Linux Server,RHEL 8,Redis,10.0.2.11,SYS-000264,user4@example.com,Dev,DAL1-RK08-U19,Maintenance,2025-04-06,2025-04-15,Low,Billing,"Tenable, Node.js, Nessus",Offline,Success (Last: 2025-04-19),"W3SVC, CrowdStrikeSensor, Ansible",Cross-platform,"CROWDSTRIKE, NODE.JS, REDIS"
dc-server-265,Linux Server,RHEL 8,Redis,10.0.2.12,SYS-000265,user37@example.com,Production,DAL1-RK07-U08,Maintenance,2025-03-22,2025-04-19,Low,Web Portal,"Nessus, Tenable, Java",Online,Success (Last: 2025-04-20),"MSSQL, W3SVC, Docker",Linux Server,"DOCKER, JAVA, REDIS"
dc-server-266,Linux Server,Ubuntu 20.04,SQL Server,10.0.2.13,SYS-000266,user37@example.com,Dev,DAL1-RK14-U03,Maintenance,2025-04-20,2025-04-15,Low,HRMS,"Nessus, Node.js, Tenable",Offline,Success (Last: 2025-04-16),"Ansible, CrowdStrikeSensor, Docker",Windows Server,"CROWDSTRIKE, DOCKER, NODE.JS, SQL SERVER"
dc-server-267,Windows Server,2022,IIS,10.0.2.14,SYS-000267,user53@example.com,Production,DAL1-RK09-U12,In Use,2025-04-05,2025-04-16,Low,Analytics,"Nessus, Node.js, .NET",Offline,Success (Last: 2025-04-19),"MSSQL, W3SVC, Ansible",Windows Server,".NET, IIS, NODE.JS"
dc-server-268,Windows Server,2022,SQL Server,10.0.2.15,SYS-000268,user13@example.com,Dev,DAL1-RK09-U15,Maintenance,2025-04-10,2025-04-15,High,ERP,"Node.js, .NET, Java",Online,Success (Last: 2025-04-20),"W3SVC, MSSQL, Puppet",Windows Server,".NET, JAVA, NODE.JS, SQL SERVER"
dc-server-269,Windows Server,2019,Node.js,10.0.2.16,SYS-000269,user92@example.com,Dev,DAL1-RK17-U16,In Use,2025-04-15,2025-04-16,High,Analytics,"Tenable, Nessus, Node.js",Online,Success (Last: 2025-04-19),"Ansible, CrowdStrikeSensor, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-270,Linux Server,Debian 11,IIS,10.0.2.17,SYS-000270,user25@example.com,Dev,DAL1-RK13-U20,In Use,2025-04-11,2025-04-19,High,Analytics,"CrowdStrike, Nessus, Node.js",Offline,Success (Last: 2025-04-16),"W3SVC, Puppet, CrowdStrikeSensor",Windows Server,"CROWDSTRIKE, IIS, NODE.JS"
dc-server-271,Linux Server,Ubuntu 20.04,Apache,10.0.2.18,SYS-000271,user5@example.com,QA,DAL1-RK18-U05,In Use,2025-03-25,2025-04-20,Medium,HRMS,"Node.js, .NET, Nessus",Offline,Success (Last: 2025-04-17),"Docker, CrowdStrikeSensor, W3SVC",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-272,Windows Server,2022,SQL Server,10.0.2.19,SYS-000272,user46@example.com,QA,DAL1-RK06-U03,In Use,2025-04-02,2025-04-18,High,Analytics,"CrowdStrike, Nessus, .NET",Online,Success (Last: 2025-04-21),"W3SVC, Puppet, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, SQL SERVER"
dc-server-273,Linux Server,Debian 11,Apache,10.0.2.20,SYS-000273,user41@example.com,Dev,DAL1-RK06-U13,In Use,2025-03-26,2025-04-18,Low,Analytics,"Java, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-19),"W3SVC, Ansible, MSSQL",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-274,Linux Server,RHEL 8,SQL Server,10.0.2.21,SYS-000274,user73@example.com,Production,DAL1-RK20-U04,Maintenance,2025-04-19,2025-04-20,High,Billing,"Node.js, Tenable, CrowdStrike",Online,Success (Last: 2025-04-19),"Puppet, MSSQL, CrowdStrikeSensor",Windows Server,"CROWDSTRIKE, NODE.JS, SQL SERVER"
dc-server-275,Linux Server,RHEL 8,IIS,10.0.2.22,SYS-000275,user71@example.com,Production,DAL1-RK13-U09,Maintenance,2025-03-26,2025-04-17,High,Billing,"CrowdStrike, Java, .NET",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, W3SVC, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS, JAVA"
dc-server-276,Linux Server,Ubuntu 20.04,Tomcat,10.0.2.23,SYS-000276,user47@example.com,QA,DAL1-RK12-U09,In Use,2025-03-22,2025-04-19,High,Billing,".NET, Tenable, Java",Offline,Success (Last: 2025-04-20),"W3SVC, Puppet, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, JAVA, TOMCAT"
dc-server-277,Linux Server,RHEL 8,Apache,10.0.2.24,SYS-000277,user35@example.com,Dev,DAL1-RK12-U07,In Use,2025-04-02,2025-04-19,Low,Web Portal,"Tenable, Nessus, Java",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, W3SVC, Ansible",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-278,Linux Server,Debian 11,Node.js,10.0.2.25,SYS-000278,user69@example.com,Production,DAL1-RK10-U11,In Use,2025-04-04,2025-04-18,Medium,Billing,"Node.js, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-20),"CrowdStrikeSensor, Ansible, MSSQL",Cross-platform,"CROWDSTRIKE, NODE.JS"
dc-server-279,Linux Server,RHEL 8,SQL Server,10.0.2.26,SYS-000279,user38@example.com,Dev,DAL1-RK04-U13,In Use,2025-04-15,2025-04-20,Medium,Billing,"Node.js, Java, .NET",Online,Success (Last: 2025-04-16),"Ansible, CrowdStrikeSensor, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NODE.JS, SQL SERVER"
dc-server-280,Linux Server,Ubuntu 20.04,Docker,10.0.2.27,SYS-000280,user61@example.com,Production,DAL1-RK18-U07,In Use,2025-04-10,2025-04-21,Low,Billing,"Node.js, .NET, CrowdStrike",Online,Success (Last: 2025-04-17),"MSSQL, CrowdStrikeSensor, Ansible",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-281,Linux Server,Ubuntu 20.04,IIS,10.0.2.28,SYS-000281,user92@example.com,Dev,DAL1-RK04-U17,In Use,2025-04-16,2025-04-15,High,HRMS,".NET, Java, CrowdStrike",Offline,Success (Last: 2025-04-21),"Puppet, W3SVC, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS, JAVA"
dc-server-282,Linux Server,RHEL 8,SQL Server,10.0.2.29,SYS-000282,user3@example.com,Dev,DAL1-RK19-U14,In Use,2025-03-27,2025-04-16,Medium,Analytics,"Java, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-21),"Docker, Puppet, CrowdStrikeSensor",Windows Server,"CROWDSTRIKE, DOCKER, JAVA, SQL SERVER"
dc-server-283,Windows Server,2019,IIS,10.0.2.30,SYS-000283,user51@example.com,Production,DAL1-RK01-U09,Maintenance,2025-04-10,2025-04-20,Medium,Billing,"CrowdStrike, .NET, Tenable",Offline,Success (Last: 2025-04-18),"Ansible, Puppet, W3SVC",Windows Server,".NET, CROWDSTRIKE, IIS"
dc-server-284,Linux Server,Debian 11,SQL Server,10.0.2.31,SYS-000284,user60@example.com,Dev,DAL1-RK20-U10,Maintenance,2025-04-13,2025-04-20,High,Billing,".NET, Java, Nessus",Online,Success (Last: 2025-04-21),"CrowdStrikeSensor, Puppet, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, SQL SERVER"
dc-server-285,Windows Server,2019,Docker,10.0.2.32,SYS-000285,user90@example.com,QA,DAL1-RK04-U13,Maintenance,2025-04-03,2025-04-17,Medium,HRMS,"Java, Nessus, CrowdStrike",Online,Success (Last: 2025-04-17),"W3SVC, MSSQL, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA"
dc-server-286,Windows Server,2022,Tomcat,10.0.2.33,SYS-000286,user1@example.com,Dev,DAL1-RK06-U05,In Use,2025-04-05,2025-04-15,Low,HRMS,"Nessus, CrowdStrike, Java",Offline,Success (Last: 2025-04-21),"Docker, CrowdStrikeSensor, MSSQL",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, TOMCAT"
dc-server-287,Windows Server,2019,Tomcat,10.0.2.34,SYS-000287,user56@example.com,Dev,DAL1-RK09-U16,Maintenance,2025-03-26,2025-04-18,Low,HRMS,"Nessus, Tenable, Java",Online,Success (Last: 2025-04-21),"Docker, W3SVC, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, TOMCAT"
dc-server-288,Linux Server,Debian 11,Apache,10.0.2.35,SYS-000288,user55@example.com,Dev,DAL1-RK11-U03,In Use,2025-03-27,2025-04-15,High,Analytics,"Tenable, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-16),"CrowdStrikeSensor, Docker, Ansible",Cross-platform,"APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-289,Windows Server,2022,Docker,10.0.2.36,SYS-000289,user73@example.com,QA,DAL1-RK08-U19,Maintenance,2025-04-17,2025-04-19,Low,Web Portal,"CrowdStrike, Node.js, Nessus",Offline,Success (Last: 2025-04-18),"W3SVC, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-290,Windows Server,2019,IIS,10.0.2.37,SYS-000290,user94@example.com,QA,DAL1-RK01-U10,Maintenance,2025-03-24,2025-04-20,High,Analytics,"Tenable, CrowdStrike, .NET",Offline,Success (Last: 2025-04-21),"Puppet, CrowdStrikeSensor, MSSQL",Windows Server,".NET, CROWDSTRIKE, IIS"
dc-server-291,Linux Server,RHEL 8,Apache,10.0.2.38,SYS-000291,user10@example.com,Dev,DAL1-RK03-U07,Maintenance,2025-04-05,2025-04-14,Low,Billing,"Nessus, Java, CrowdStrike",Offline,Success (Last: 2025-04-20),"Puppet, CrowdStrikeSensor, W3SVC",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-292,Windows Server,2022,Apache,10.0.2.39,SYS-000292,user68@example.com,Dev,DAL1-RK20-U17,In Use,2025-04-04,2025-04-21,High,Analytics,"Java, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-18),"W3SVC, Puppet, CrowdStrikeSensor",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-293,Windows Server,2019,Node.js,10.0.2.40,SYS-000293,user97@example.com,Production,DAL1-RK10-U08,Maintenance,2025-03-24,2025-04-18,Low,ERP,"CrowdStrike, Tenable, Node.js",Offline,Success (Last: 2025-04-20),"MSSQL, Docker, Ansible",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-294,Windows Server,2022,Nginx,10.0.2.41,SYS-000294,user86@example.com,Production,DAL1-RK13-U05,In Use,2025-03-30,2025-04-16,High,Analytics,".NET, Nessus, Tenable",Online,Success (Last: 2025-04-18),"Docker, W3SVC, Ansible",Windows Server,".NET, DOCKER, NGINX"
